Child's First Name,Summation of Counts,Ethnicity
Arjun,80,ASIAN AND PACIFIC ISLANDER
Arlo,32,WHITE NON HISPANIC
Armaan,26,ASIAN AND PACIFIC ISLANDER
Armani,62,HISPANIC
Aron,280,WHITE NON HISPANIC
Arthur,116,WHITE NON HISPANIC
Arvin,22,ASIAN AND PACIFIC ISLANDER
Arya,108,ASIAN AND PACIFIC ISLANDER
Arya,26,HISPANIC
Aryan,84,ASIAN AND PACIFIC ISLANDER
Arye,24,WHITE NON HISPANIC
Aryeh,94,WHITE NON HISPANIC
Asher,50,ASIAN AND PACIFIC ISLANDER
Asher,26,BLACK NON HISPANIC
Asher,246,WHITE NON HISPANIC
Ashley,160,ASIAN AND PACIFIC ISLANDER
Ashley,66,BLACK NON HISPANIC
Ashley,542,HISPANIC
Ashley,54,WHITE NON HISPANIC
Ashton,106,BLACK NON HISPANIC
Ashton,50,HISPANIC
Ashton,24,WHITE NON HISPANIC
Asia,24,BLACK NON HISPANIC
Atara,26,WHITE NON HISPANIC
Athena,44,ASIAN AND PACIFIC ISLANDER
Athena,80,HISPANIC
Athena,42,WHITE NON HISPANIC
Aubree,24,BLACK NON HISPANIC
Aubree,62,HISPANIC
Aubrey,92,BLACK NON HISPANIC
Aubrey,156,HISPANIC
Aubrey,28,WHITE NON HISPANIC
Audrey,124,ASIAN AND PACIFIC ISLANDER
Audrey,80,HISPANIC
Audrey,136,WHITE NON HISPANIC
August,110,WHITE NON HISPANIC
Aurora,42,HISPANIC
Aurora,58,WHITE NON HISPANIC
Austin,232,ASIAN AND PACIFIC ISLANDER
Austin,100,BLACK NON HISPANIC
Austin,154,HISPANIC
Austin,138,WHITE NON HISPANIC
Autumn,124,BLACK NON HISPANIC
Autumn,50,HISPANIC
Ava,164,ASIAN AND PACIFIC ISLANDER
Ava,296,BLACK NON HISPANIC
Ava,294,HISPANIC
Ava,592,WHITE NON HISPANIC
Avery,94,ASIAN AND PACIFIC ISLANDER
Avery,158,BLACK NON HISPANIC
Avery,170,HISPANIC
Avery,276,WHITE NON HISPANIC
Avi,44,WHITE NON HISPANIC
Avigail,44,WHITE NON HISPANIC
Avital,20,WHITE NON HISPANIC
Aviva,52,WHITE NON HISPANIC
Avraham,206,WHITE NON HISPANIC
Avrohom,116,WHITE NON HISPANIC
Avrum,58,WHITE NON HISPANIC
Axel,214,HISPANIC
Axel,44,WHITE NON HISPANIC
Aya,28,WHITE NON HISPANIC
Ayaan,200,ASIAN AND PACIFIC ISLANDER
Ayala,20,WHITE NON HISPANIC
Ayan,82,ASIAN AND PACIFIC ISLANDER
Ayden,62,ASIAN AND PACIFIC ISLANDER
Ayden,216,BLACK NON HISPANIC
Ayden,328,HISPANIC
Ayden,24,WHITE NON HISPANIC
Aydin,22,WHITE NON HISPANIC
Ayesha,96,ASIAN AND PACIFIC ISLANDER
Ayla,36,WHITE NON HISPANIC
Ayleen,56,HISPANIC
Aylin,148,HISPANIC
Azaan,20,ASIAN AND PACIFIC ISLANDER
Azaria,20,BLACK NON HISPANIC
Aziza,22,WHITE NON HISPANIC
